file,n_points,n_classes,bbox_dx,bbox_dy,bbox_dz
valve_0001_lidar_classes.ply,6757,10,383.848388671875,201.85067749023438,134.331787109375
valve_0002_lidar_classes.ply,7022,10,367.8250732421875,194.91311645507812,175.869384765625
valve_0003_lidar_classes.ply,7650,10,302.0775146484375,193.69961547851562,288.947998046875
valve_0004_lidar_classes.ply,7126,10,311.5650939941406,192.63406372070312,243.947998046875
valve_0005_lidar_classes.ply,7028,10,358.10455322265625,194.77920532226562,195.30972290039062
valve_0006_lidar_classes.ply,7256,10,356.72802734375,199.23997497558594,201.51673889160156
valve_0007_lidar_classes.ply,7057,10,377.67510986328125,199.1602020263672,151.66871643066406
valve_0008_lidar_classes.ply,7308,10,324.8440856933594,199.28424072265625,233.76516723632812
valve_0009_lidar_classes.ply,7997,10,300.01953125,197.22654724121094,286.9953308105469
valve_0010_lidar_classes.ply,7393,10,330.5514221191406,195.49644470214844,229.09344482421875
valve_0011_lidar_classes.ply,7213,10,323.677490234375,195.68844604492188,244.7394561767578
valve_0012_lidar_classes.ply,6399,10,390.83984375,193.21493530273438,126.07047271728516
valve_0013_lidar_classes.ply,6989,10,368.7569580078125,194.21014404296875,176.07382202148438
valve_0014_lidar_classes.ply,7018,10,347.830322265625,193.32644653320312,219.97760009765625
valve_0015_lidar_classes.ply,7505,10,302.5697326660156,199.78878784179688,258.3105773925781
valve_0016_lidar_classes.ply,6824,10,380.6255798339844,194.66018676757812,138.76454162597656
valve_0017_lidar_classes.ply,8046,10,300.01885986328125,199.60617065429688,300.3568115234375
valve_0018_lidar_classes.ply,6428,10,394.307373046875,194.75640869140625,114.92829895019531
valve_0019_lidar_classes.ply,8650,10,300.02069091796875,202.50198364257812,294.0388488769531
valve_0020_lidar_classes.ply,6943,10,369.0257568359375,195.95889282226562,189.04714965820312
valve_0021_lidar_classes.ply,7867,10,301.919189453125,198.43099975585938,276.2071228027344
valve_0022_lidar_classes.ply,7541,10,329.2352600097656,200.52598571777344,229.47189331054688
valve_0023_lidar_classes.ply,8662,10,300.2298889160156,202.6306610107422,292.7769775390625
valve_0024_lidar_classes.ply,6905,10,378.51513671875,202.24330139160156,154.97633361816406
valve_0025_lidar_classes.ply,7871,10,301.4294738769531,196.52685546875,298.07550048828125
valve_0026_lidar_classes.ply,7496,10,299.752197265625,193.98831176757812,269.1529235839844
valve_0027_lidar_classes.ply,7396,10,343.158935546875,202.93658447265625,222.89404296875
valve_0028_lidar_classes.ply,8258,10,300.0249328613281,197.28866577148438,296.4433288574219
valve_0029_lidar_classes.ply,7713,10,300.0107421875,201.67971801757812,288.0135192871094
valve_0030_lidar_classes.ply,7422,10,318.21478271484375,198.74330139160156,239.49517822265625
valve_0031_lidar_classes.ply,7331,10,301.1026611328125,199.11175537109375,265.26776123046875
valve_0032_lidar_classes.ply,7347,10,300.0640563964844,198.95779418945312,263.3327941894531
valve_0033_lidar_classes.ply,7780,10,300.4124755859375,194.44284057617188,284.3194274902344
valve_0034_lidar_classes.ply,8432,10,300.0242004394531,198.45556640625,291.4639892578125
valve_0035_lidar_classes.ply,6498,10,386.1502685546875,195.16659545898438,146.35113525390625
valve_0036_lidar_classes.ply,7499,10,300.41864013671875,197.60848999023438,268.9346618652344
valve_0037_lidar_classes.ply,6454,10,394.9647216796875,199.29208374023438,122.0618896484375
valve_0038_lidar_classes.ply,8131,10,300.9836730957031,195.0648956298828,296.52215576171875
valve_0039_lidar_classes.ply,7168,10,400.2669677734375,201.51904296875,106.13256072998047
valve_0040_lidar_classes.ply,7182,10,353.4757080078125,194.12367248535156,202.81109619140625
valve_0041_lidar_classes.ply,7437,10,354.9036560058594,197.81976318359375,197.85726928710938
valve_0042_lidar_classes.ply,7321,10,322.01904296875,194.22323608398438,235.94256591796875
valve_0043_lidar_classes.ply,8213,10,302.50848388671875,200.75820922851562,295.311279296875
valve_0044_lidar_classes.ply,7488,10,299.7548828125,194.76441955566406,271.27587890625
valve_0045_lidar_classes.ply,6851,10,386.59112548828125,201.6092529296875,102.02690124511719
