file,n_points,n_segments,label_field,file_kb,min_label,max_label
valve_0001_lidar_classes.ply,6757,1,none,226.3,0,0
valve_0002_lidar_classes.ply,7022,1,none,237.4,0,0
valve_0003_lidar_classes.ply,7650,1,none,258.9,0,0
valve_0004_lidar_classes.ply,7126,1,none,241.7,0,0
valve_0005_lidar_classes.ply,7028,1,none,237.4,0,0
valve_0006_lidar_classes.ply,7256,1,none,245.6,0,0
valve_0007_lidar_classes.ply,7057,1,none,237.9,0,0
valve_0008_lidar_classes.ply,7308,1,none,247.1,0,0
valve_0009_lidar_classes.ply,7997,1,none,270.6,0,0
valve_0010_lidar_classes.ply,7393,1,none,247.9,0,0
valve_0011_lidar_classes.ply,7213,1,none,241.8,0,0
valve_0012_lidar_classes.ply,6399,1,none,215.7,0,0
valve_0013_lidar_classes.ply,6989,1,none,235.9,0,0
valve_0014_lidar_classes.ply,7018,1,none,237.4,0,0
valve_0015_lidar_classes.ply,7505,1,none,253.7,0,0
valve_0016_lidar_classes.ply,6824,1,none,229.9,0,0
valve_0017_lidar_classes.ply,8046,1,none,272.0,0,0
valve_0018_lidar_classes.ply,6428,1,none,215.3,0,0
valve_0019_lidar_classes.ply,8650,1,none,292.0,0,0
valve_0020_lidar_classes.ply,6943,1,none,234.5,0,0
valve_0021_lidar_classes.ply,7867,1,none,264.2,0,0
valve_0022_lidar_classes.ply,7541,1,none,255.3,0,0
valve_0023_lidar_classes.ply,8662,1,none,292.3,0,0
valve_0024_lidar_classes.ply,6905,1,none,233.1,0,0
valve_0025_lidar_classes.ply,7871,1,none,263.8,0,0
valve_0026_lidar_classes.ply,7496,1,none,250.8,0,0
valve_0027_lidar_classes.ply,7396,1,none,250.1,0,0
valve_0028_lidar_classes.ply,8258,1,none,278.1,0,0
valve_0029_lidar_classes.ply,7713,1,none,260.4,0,0
valve_0030_lidar_classes.ply,7422,1,none,251.3,0,0
valve_0031_lidar_classes.ply,7331,1,none,248.5,0,0
valve_0032_lidar_classes.ply,7347,1,none,249.1,0,0
valve_0033_lidar_classes.ply,7780,1,none,262.6,0,0
valve_0034_lidar_classes.ply,8432,1,none,284.0,0,0
valve_0035_lidar_classes.ply,6498,1,none,217.5,0,0
valve_0036_lidar_classes.ply,7499,1,none,250.9,0,0
valve_0037_lidar_classes.ply,6454,1,none,217.5,0,0
valve_0038_lidar_classes.ply,8131,1,none,271.9,0,0
valve_0039_lidar_classes.ply,7168,1,none,242.8,0,0
valve_0040_lidar_classes.ply,7182,1,none,242.7,0,0
valve_0041_lidar_classes.ply,7437,1,none,251.7,0,0
valve_0042_lidar_classes.ply,7321,1,none,247.8,0,0
valve_0043_lidar_classes.ply,8213,1,none,274.3,0,0
valve_0044_lidar_classes.ply,7488,1,none,250.4,0,0
valve_0045_lidar_classes.ply,6851,1,none,230.3,0,0
valve_0046_lidar_classes.ply,7791,1,none,263.6,0,0
valve_0047_lidar_classes.ply,7043,1,none,238.4,0,0
valve_0048_lidar_classes.ply,7521,1,none,254.6,0,0
valve_0049_lidar_classes.ply,6610,1,none,222.4,0,0
valve_0050_lidar_classes.ply,6705,1,none,225.4,0,0
valve_0051_lidar_classes.ply,7059,1,none,238.8,0,0
valve_0052_lidar_classes.ply,6930,1,none,234.8,0,0
valve_0053_lidar_classes.ply,8061,1,none,271.6,0,0
valve_0054_lidar_classes.ply,7188,1,none,243.5,0,0
valve_0055_lidar_classes.ply,7025,1,none,237.9,0,0
valve_0056_lidar_classes.ply,8154,1,none,272.3,0,0
valve_0057_lidar_classes.ply,6590,1,none,222.0,0,0
valve_0058_lidar_classes.ply,6369,1,none,214.8,0,0
valve_0059_lidar_classes.ply,7230,1,none,244.8,0,0
valve_0060_lidar_classes.ply,6790,1,none,229.3,0,0
valve_0061_lidar_classes.ply,7632,1,none,256.9,0,0
valve_0062_lidar_classes.ply,6611,1,none,222.7,0,0
valve_0063_lidar_classes.ply,7771,1,none,261.6,0,0
valve_0064_lidar_classes.ply,7396,1,none,250.5,0,0
valve_0065_lidar_classes.ply,6495,1,none,218.3,0,0
valve_0066_lidar_classes.ply,8269,1,none,276.5,0,0
valve_0067_lidar_classes.ply,7400,1,none,249.2,0,0
valve_0068_lidar_classes.ply,7679,1,none,259.5,0,0
valve_0069_lidar_classes.ply,7090,1,none,240.1,0,0
valve_0070_lidar_classes.ply,8210,1,none,276.7,0,0
valve_0071_lidar_classes.ply,6845,1,none,231.3,0,0
valve_0072_lidar_classes.ply,6553,1,none,219.4,0,0
valve_0073_lidar_classes.ply,8363,1,none,282.1,0,0
valve_0074_lidar_classes.ply,7934,1,none,266.0,0,0
valve_0075_lidar_classes.ply,7878,1,none,264.2,0,0
valve_0076_lidar_classes.ply,7570,1,none,254.7,0,0
valve_0077_lidar_classes.ply,7904,1,none,264.3,0,0
valve_0078_lidar_classes.ply,8086,1,none,270.2,0,0
valve_0079_lidar_classes.ply,6998,1,none,236.7,0,0
valve_0080_lidar_classes.ply,7893,1,none,267.2,0,0
valve_0081_lidar_classes.ply,7916,1,none,265.3,0,0
valve_0082_lidar_classes.ply,6973,1,none,235.9,0,0
valve_0083_lidar_classes.ply,8236,1,none,275.3,0,0
valve_0084_lidar_classes.ply,8142,1,none,271.9,0,0
valve_0085_lidar_classes.ply,7982,1,none,267.7,0,0
valve_0086_lidar_classes.ply,7646,1,none,258.0,0,0
valve_0087_lidar_classes.ply,8064,1,none,270.3,0,0
valve_0088_lidar_classes.ply,8281,1,none,279.1,0,0
valve_0089_lidar_classes.ply,6744,1,none,227.6,0,0
valve_0090_lidar_classes.ply,6654,1,none,224.2,0,0
valve_0091_lidar_classes.ply,6571,1,none,221.2,0,0
valve_0092_lidar_classes.ply,8228,1,none,275.5,0,0
valve_0093_lidar_classes.ply,7484,1,none,250.6,0,0
valve_0094_lidar_classes.ply,8703,1,none,293.7,0,0
valve_0095_lidar_classes.ply,7723,1,none,260.2,0,0
valve_0096_lidar_classes.ply,7004,1,none,236.2,0,0
valve_0097_lidar_classes.ply,7646,1,none,258.6,0,0
valve_0098_lidar_classes.ply,8453,1,none,284.7,0,0
valve_0099_lidar_classes.ply,6659,1,none,223.0,0,0
valve_0100_lidar_classes.ply,7438,1,none,249.3,0,0
valve_0101_lidar_classes.ply,7547,1,none,254.2,0,0
valve_0102_lidar_classes.ply,7404,1,none,248.2,0,0
valve_0103_lidar_classes.ply,7398,1,none,249.3,0,0
valve_0104_lidar_classes.ply,7390,1,none,250.0,0,0
valve_0105_lidar_classes.ply,7366,1,none,249.0,0,0
valve_0106_lidar_classes.ply,7228,1,none,244.9,0,0
valve_0107_lidar_classes.ply,8118,1,none,273.7,0,0
valve_0108_lidar_classes.ply,7822,1,none,262.0,0,0
valve_0109_lidar_classes.ply,6810,1,none,228.9,0,0
valve_0110_lidar_classes.ply,8009,1,none,267.6,0,0
valve_0111_lidar_classes.ply,8247,1,none,275.4,0,0
valve_0112_lidar_classes.ply,7382,1,none,249.8,0,0
valve_0113_lidar_classes.ply,7633,1,none,257.1,0,0
valve_0114_lidar_classes.ply,7241,1,none,245.5,0,0
valve_0115_lidar_classes.ply,6997,1,none,237.0,0,0
valve_0116_lidar_classes.ply,8154,1,none,272.2,0,0
valve_0117_lidar_classes.ply,6708,1,none,224.7,0,0
valve_0118_lidar_classes.ply,7610,1,none,257.1,0,0
valve_0119_lidar_classes.ply,7313,1,none,247.5,0,0
valve_0120_lidar_classes.ply,7606,1,none,257.4,0,0
valve_0121_lidar_classes.ply,7975,1,none,266.4,0,0
valve_0122_lidar_classes.ply,7180,1,none,242.5,0,0
valve_0123_lidar_classes.ply,6479,1,none,217.2,0,0
valve_0124_lidar_classes.ply,8061,1,none,270.7,0,0
valve_0125_lidar_classes.ply,6807,1,none,228.9,0,0
valve_0126_lidar_classes.ply,7957,1,none,265.9,0,0
valve_0127_lidar_classes.ply,7729,1,none,259.8,0,0
valve_0128_lidar_classes.ply,7113,1,none,240.5,0,0
valve_0129_lidar_classes.ply,7548,1,none,255.2,0,0
valve_0130_lidar_classes.ply,7852,1,none,265.0,0,0
valve_0131_lidar_classes.ply,6817,1,none,229.6,0,0
valve_0132_lidar_classes.ply,7553,1,none,253.0,0,0
valve_0133_lidar_classes.ply,6969,1,none,235.0,0,0
valve_0134_lidar_classes.ply,7052,1,none,236.4,0,0
valve_0135_lidar_classes.ply,6566,1,none,219.8,0,0
valve_0136_lidar_classes.ply,8051,1,none,268.9,0,0
valve_0137_lidar_classes.ply,8100,1,none,270.5,0,0
valve_0138_lidar_classes.ply,7188,1,none,240.7,0,0
valve_0139_lidar_classes.ply,7960,1,none,266.0,0,0
valve_0140_lidar_classes.ply,7924,1,none,268.2,0,0
valve_0141_lidar_classes.ply,7347,1,none,248.5,0,0
valve_0142_lidar_classes.ply,7944,1,none,267.9,0,0
valve_0143_lidar_classes.ply,7089,1,none,239.8,0,0
valve_0144_lidar_classes.ply,6569,1,none,221.1,0,0
valve_0145_lidar_classes.ply,7564,1,none,256.2,0,0
valve_0146_lidar_classes.ply,7357,1,none,249.0,0,0
valve_0147_lidar_classes.ply,6739,1,none,227.8,0,0
valve_0148_lidar_classes.ply,6984,1,none,234.1,0,0
valve_0149_lidar_classes.ply,7832,1,none,264.3,0,0
valve_0150_lidar_classes.ply,7544,1,none,255.5,0,0
valve_0151_lidar_classes.ply,8136,1,none,274.3,0,0
valve_0152_lidar_classes.ply,7248,1,none,245.2,0,0
valve_0153_lidar_classes.ply,7766,1,none,259.8,0,0
valve_0154_lidar_classes.ply,6949,1,none,234.6,0,0
valve_0155_lidar_classes.ply,7265,1,none,246.0,0,0
valve_0156_lidar_classes.ply,8102,1,none,270.5,0,0
valve_0157_lidar_classes.ply,7915,1,none,266.8,0,0
valve_0158_lidar_classes.ply,7994,1,none,269.5,0,0
valve_0159_lidar_classes.ply,7159,1,none,242.5,0,0
valve_0160_lidar_classes.ply,7108,1,none,239.5,0,0
valve_0161_lidar_classes.ply,7028,1,none,237.9,0,0
valve_0162_lidar_classes.ply,7833,1,none,264.5,0,0
valve_0163_lidar_classes.ply,8301,1,none,279.5,0,0
valve_0164_lidar_classes.ply,7276,1,none,246.2,0,0
valve_0165_lidar_classes.ply,6926,1,none,233.3,0,0
valve_0166_lidar_classes.ply,8019,1,none,269.4,0,0
valve_0167_lidar_classes.ply,7810,1,none,264.0,0,0
valve_0168_lidar_classes.ply,7628,1,none,258.3,0,0
valve_0169_lidar_classes.ply,8247,1,none,275.4,0,0
valve_0170_lidar_classes.ply,6420,1,none,214.9,0,0
valve_0171_lidar_classes.ply,7908,1,none,264.4,0,0
valve_0172_lidar_classes.ply,6947,1,none,232.7,0,0
valve_0173_lidar_classes.ply,7998,1,none,267.4,0,0
valve_0174_lidar_classes.ply,7402,1,none,250.3,0,0
valve_0175_lidar_classes.ply,7664,1,none,256.8,0,0
valve_0176_lidar_classes.ply,7231,1,none,242.1,0,0
valve_0177_lidar_classes.ply,8165,1,none,273.1,0,0
valve_0178_lidar_classes.ply,7327,1,none,247.9,0,0
valve_0179_lidar_classes.ply,7806,1,none,260.5,0,0
valve_0180_lidar_classes.ply,6819,1,none,230.0,0,0
valve_0181_lidar_classes.ply,7021,1,none,235.4,0,0
valve_0182_lidar_classes.ply,6959,1,none,235.6,0,0
valve_0183_lidar_classes.ply,7350,1,none,248.6,0,0
valve_0184_lidar_classes.ply,7603,1,none,257.1,0,0
valve_0185_lidar_classes.ply,7654,1,none,258.6,0,0
valve_0186_lidar_classes.ply,7598,1,none,257.0,0,0
valve_0187_lidar_classes.ply,6763,1,none,226.5,0,0
valve_0188_lidar_classes.ply,7986,1,none,266.9,0,0
valve_0189_lidar_classes.ply,8275,1,none,276.6,0,0
valve_0190_lidar_classes.ply,7170,1,none,241.9,0,0
valve_0191_lidar_classes.ply,6571,1,none,220.3,0,0
valve_0192_lidar_classes.ply,8368,1,none,279.5,0,0
valve_0193_lidar_classes.ply,7427,1,none,251.1,0,0
valve_0194_lidar_classes.ply,7444,1,none,251.8,0,0
