file,status,n_points,n_segments,n_success,n_failed,total_faces,total_verts,geo_class,methods
valve_0001_lidar_classes.ply,ok,6757,9,9,0,32077,16750,complex,"['poisson', 'ball_pivoting']"
valve_0002_lidar_classes.ply,ok,7022,8,8,0,35210,18435,complex,"['poisson', 'ball_pivoting']"
valve_0003_lidar_classes.ply,ok,7650,10,10,0,51700,27022,complex,"['poisson', 'ball_pivoting']"
valve_0004_lidar_classes.ply,ok,7126,10,10,0,52080,27275,complex,"['poisson', 'ball_pivoting']"
valve_0005_lidar_classes.ply,ok,7028,10,10,0,51819,27170,complex,"['poisson', 'ball_pivoting']"
valve_0006_lidar_classes.ply,ok,7256,8,8,0,35374,18529,complex,"['poisson', 'ball_pivoting']"
valve_0007_lidar_classes.ply,ok,7057,9,9,0,33440,17617,complex,"['poisson', 'ball_pivoting']"
valve_0008_lidar_classes.ply,ok,7308,9,9,0,37892,19854,complex,"['poisson', 'ball_pivoting']"
valve_0009_lidar_classes.ply,ok,7997,10,10,0,51918,27177,complex,"['poisson', 'ball_pivoting']"
valve_0010_lidar_classes.ply,ok,7393,10,10,0,40525,21197,complex,"['poisson', 'ball_pivoting']"
valve_0011_lidar_classes.ply,ok,7213,9,9,0,36496,19200,complex,"['poisson', 'ball_pivoting']"
valve_0012_lidar_classes.ply,ok,6399,8,8,0,35324,18461,complex,"['poisson', 'ball_pivoting']"
valve_0013_lidar_classes.ply,ok,6989,10,10,0,39271,20592,complex,"['poisson', 'ball_pivoting']"
valve_0014_lidar_classes.ply,ok,7018,10,10,0,43266,22663,complex,"['poisson', 'ball_pivoting']"
valve_0015_lidar_classes.ply,ok,7505,10,10,0,51403,26892,complex,"['poisson', 'ball_pivoting']"
valve_0016_lidar_classes.ply,ok,6824,10,10,0,45164,23632,complex,"['poisson', 'ball_pivoting']"
valve_0017_lidar_classes.ply,ok,8046,10,10,0,53831,28149,complex,"['poisson', 'ball_pivoting']"
valve_0018_lidar_classes.ply,ok,6428,9,9,0,30582,16001,complex,"['poisson', 'ball_pivoting']"
valve_0019_lidar_classes.ply,ok,8650,10,10,0,53469,27975,complex,"['poisson', 'ball_pivoting']"
valve_0020_lidar_classes.ply,ok,6943,10,10,0,43858,23019,complex,"['poisson', 'ball_pivoting']"
valve_0021_lidar_classes.ply,ok,7867,10,10,0,51639,27088,complex,"['poisson', 'ball_pivoting']"
valve_0022_lidar_classes.ply,ok,7541,10,10,0,55263,28972,complex,"['poisson', 'ball_pivoting']"
valve_0023_lidar_classes.ply,ok,8662,10,10,0,54985,28775,complex,"['poisson', 'ball_pivoting']"
valve_0024_lidar_classes.ply,ok,6905,8,8,0,33608,17602,complex,"['poisson', 'ball_pivoting']"
valve_0025_lidar_classes.ply,ok,7871,10,10,0,43327,22733,complex,"['poisson', 'ball_pivoting']"
valve_0026_lidar_classes.ply,ok,7496,10,10,0,42792,22485,complex,"['poisson', 'ball_pivoting']"
valve_0027_lidar_classes.ply,ok,7396,9,9,0,39916,20925,complex,"['poisson', 'ball_pivoting']"
valve_0028_lidar_classes.ply,ok,8258,10,10,0,50635,26454,complex,"['poisson', 'ball_pivoting']"
valve_0029_lidar_classes.ply,ok,7713,8,8,0,42562,22350,complex,"['poisson', 'ball_pivoting']"
valve_0030_lidar_classes.ply,ok,7422,10,10,0,54038,28263,complex,"['poisson', 'ball_pivoting']"
valve_0031_lidar_classes.ply,ok,7331,10,10,0,51930,27181,complex,"['poisson', 'ball_pivoting']"
valve_0032_lidar_classes.ply,ok,7347,10,10,0,51393,26884,complex,"['poisson', 'ball_pivoting']"
valve_0033_lidar_classes.ply,ok,7780,10,10,0,50023,26248,complex,"['poisson', 'ball_pivoting']"
valve_0034_lidar_classes.ply,ok,8432,10,10,0,49624,25906,complex,"['poisson', 'ball_pivoting']"
valve_0035_lidar_classes.ply,ok,6498,10,10,0,34114,17877,complex,"['poisson', 'ball_pivoting']"
valve_0036_lidar_classes.ply,ok,7499,10,10,0,42558,22371,complex,"['poisson', 'ball_pivoting']"
valve_0037_lidar_classes.ply,ok,6454,8,8,0,36809,19216,complex,"['poisson', 'ball_pivoting']"
valve_0038_lidar_classes.ply,ok,8131,10,10,0,44690,23430,complex,"['poisson', 'ball_pivoting']"
valve_0039_lidar_classes.ply,ok,7168,9,9,0,40099,21070,complex,"['poisson', 'ball_pivoting']"
valve_0040_lidar_classes.ply,ok,7182,10,10,0,44455,23334,complex,"['poisson', 'ball_pivoting']"
valve_0041_lidar_classes.ply,ok,7437,8,8,0,34807,18239,complex,"['poisson', 'ball_pivoting']"
valve_0042_lidar_classes.ply,ok,7321,10,10,0,46318,24196,complex,"['poisson', 'ball_pivoting']"
valve_0043_lidar_classes.ply,ok,8213,10,10,0,43396,22685,complex,"['poisson', 'ball_pivoting']"
valve_0044_lidar_classes.ply,ok,7488,10,10,0,43143,22653,complex,"['poisson', 'ball_pivoting']"
valve_0045_lidar_classes.ply,ok,6851,9,9,0,34995,18410,complex,"['poisson', 'ball_pivoting']"
valve_0046_lidar_classes.ply,ok,7791,10,10,0,52773,27594,complex,"['poisson', 'ball_pivoting']"
valve_0047_lidar_classes.ply,ok,7043,10,10,0,41362,21579,complex,"['poisson', 'ball_pivoting']"
valve_0048_lidar_classes.ply,ok,7521,10,10,0,54244,28424,complex,"['poisson', 'ball_pivoting']"
valve_0049_lidar_classes.ply,ok,6610,9,9,0,29730,15559,complex,"['poisson', 'ball_pivoting']"
valve_0050_lidar_classes.ply,ok,6705,9,9,0,39537,20713,complex,"['poisson', 'ball_pivoting']"
valve_0051_lidar_classes.ply,ok,7059,9,9,0,41785,21899,complex,"['poisson', 'ball_pivoting']"
valve_0052_lidar_classes.ply,ok,6930,10,10,0,44593,23382,complex,"['poisson', 'ball_pivoting']"
valve_0053_lidar_classes.ply,ok,8061,10,10,0,50620,26519,complex,"['poisson', 'ball_pivoting']"
