file,label,n_points,geo_class,method,rec_status,n_vertices,n_faces,cloud_to_mesh_mean,cloud_to_mesh_max,cloud_to_mesh_rmse,cloud_to_mesh_median,mesh_to_cloud_mean,mesh_to_cloud_rmse,hausdorff_approx,surface_area,n_mesh_components,largest_comp_ratio
valve_0001_lidar_classes.ply,0,275,planar,poisson,ok,1152,2192,1.648867479264541,8.367266808540633,1.9475614252283704,1.6035956353284997,8.634808685701275,10.893749920397411,24.72968012382315,10253.426985387869,1,1.0
valve_0001_lidar_classes.ply,1,135,complex,poisson,ok,2943,5649,0.7295645726452407,3.4306699213097613,0.8691122537784097,0.6533433003344629,3.941187872354213,4.8144019535853095,12.588182297994235,4451.255463113426,9,0.9830058417419012
valve_0001_lidar_classes.ply,2,76,complex,poisson,ok,1957,3734,0.39784019161117196,0.6707050356713748,0.42116454980319723,0.38542547509664904,1.6788803457550932,1.8502819791177003,4.298883085670029,1032.2034945083153,13,0.9710765934654526
valve_0001_lidar_classes.ply,3,558,tubular,ball_pivoting,ok,450,812,0.9155631232177953,5.761433071195625,2.1257065245164277,0.0,0.0,0.0,5.761433071195625,6393.6171890067835,1,1.0
valve_0001_lidar_classes.ply,5,928,complex,poisson,ok,3189,6164,0.9861768065168768,3.196858197843224,1.0788022774743469,1.0079519344210692,2.604823984603892,3.4609218149980303,12.25331075587216,15206.962228734117,1,1.0
valve_0001_lidar_classes.ply,6,621,complex,poisson,ok,3321,6370,0.9371534652502878,2.92395964290618,1.0701512148748509,0.8626827084014933,2.9707087059336725,3.931075569804158,11.406953942886688,9551.24931324218,2,0.9987441130298274
valve_0001_lidar_classes.ply,7,364,complex,ball_pivoting,ok,354,606,0.0959283543193998,3.794797293755566,0.5801331945612026,0.0,0.0,0.0,3.794797293755566,4515.985505973576,3,0.9917491749174917
valve_0001_lidar_classes.ply,8,573,complex,ball_pivoting,ok,570,1057,0.01505221558887871,3.346596723126728,0.2097948005774476,0.0,0.0,0.0,3.346596723126728,8600.245893208214,1,1.0
valve_0001_lidar_classes.ply,9,2839,spherical,ball_pivoting,ok,2814,5493,0.03464757580598745,4.839108095296288,0.3725955216320306,0.0,0.0,0.0,4.839108095296288,39897.59757668018,1,1.0
valve_0002_lidar_classes.ply,0,792,tubular,ball_pivoting,ok,730,1314,0.46325160892050726,9.040053406896586,1.7362888227929822,0.0,0.0,0.0,9.040053406896586,5476.822814551055,2,0.9992389649923896
valve_0002_lidar_classes.ply,1,129,complex,poisson,ok,2565,4888,0.6863764253714942,3.535593409907131,0.8558705787292897,0.6078216215268091,4.175855091172515,5.3103425651043015,14.690007930946976,3681.677823407134,7,0.9885433715220949
valve_0002_lidar_classes.ply,3,455,tubular,ball_pivoting,ok,439,756,0.1672026203706695,5.40105603742802,0.9149023615249046,0.0,0.0,0.0,5.40105603742802,5186.450429158459,2,0.9986772486772487
valve_0002_lidar_classes.ply,5,934,complex,poisson,ok,3221,6226,1.0267641193231356,5.920527391266445,1.1555799029408125,1.0198246515111968,3.2297221745450315,4.492025994735957,19.301434230774287,15837.606949552308,1,1.0
