label,n_points,file
0,361,valve_0001_lidar_classes.ply
1,143,valve_0001_lidar_classes.ply
2,76,valve_0001_lidar_classes.ply
3,558,valve_0001_lidar_classes.ply
4,48,valve_0001_lidar_classes.ply
5,928,valve_0001_lidar_classes.ply
6,621,valve_0001_lidar_classes.ply
7,410,valve_0001_lidar_classes.ply
8,649,valve_0001_lidar_classes.ply
9,2963,valve_0001_lidar_classes.ply
0,799,valve_0002_lidar_classes.ply
1,146,valve_0002_lidar_classes.ply
2,59,valve_0002_lidar_classes.ply
3,457,valve_0002_lidar_classes.ply
4,50,valve_0002_lidar_classes.ply
5,955,valve_0002_lidar_classes.ply
6,342,valve_0002_lidar_classes.ply
7,497,valve_0002_lidar_classes.ply
8,852,valve_0002_lidar_classes.ply
9,2865,valve_0002_lidar_classes.ply
0,664,valve_0003_lidar_classes.ply
1,204,valve_0003_lidar_classes.ply
2,100,valve_0003_lidar_classes.ply
3,738,valve_0003_lidar_classes.ply
4,112,valve_0003_lidar_classes.ply
5,1144,valve_0003_lidar_classes.ply
6,927,valve_0003_lidar_classes.ply
7,465,valve_0003_lidar_classes.ply
8,682,valve_0003_lidar_classes.ply
9,2614,valve_0003_lidar_classes.ply
0,611,valve_0004_lidar_classes.ply
1,173,valve_0004_lidar_classes.ply
2,81,valve_0004_lidar_classes.ply
3,654,valve_0004_lidar_classes.ply
4,99,valve_0004_lidar_classes.ply
5,919,valve_0004_lidar_classes.ply
6,889,valve_0004_lidar_classes.ply
7,414,valve_0004_lidar_classes.ply
8,653,valve_0004_lidar_classes.ply
9,2633,valve_0004_lidar_classes.ply
0,718,valve_0005_lidar_classes.ply
1,152,valve_0005_lidar_classes.ply
2,77,valve_0005_lidar_classes.ply
3,666,valve_0005_lidar_classes.ply
4,90,valve_0005_lidar_classes.ply
5,869,valve_0005_lidar_classes.ply
6,684,valve_0005_lidar_classes.ply
7,414,valve_0005_lidar_classes.ply
8,625,valve_0005_lidar_classes.ply
9,2733,valve_0005_lidar_classes.ply
0,862,valve_0006_lidar_classes.ply
1,134,valve_0006_lidar_classes.ply
2,65,valve_0006_lidar_classes.ply
3,463,valve_0006_lidar_classes.ply
4,64,valve_0006_lidar_classes.ply
5,894,valve_0006_lidar_classes.ply
6,373,valve_0006_lidar_classes.ply
7,506,valve_0006_lidar_classes.ply
8,787,valve_0006_lidar_classes.ply
9,3108,valve_0006_lidar_classes.ply
0,590,valve_0007_lidar_classes.ply
1,170,valve_0007_lidar_classes.ply
2,80,valve_0007_lidar_classes.ply
3,647,valve_0007_lidar_classes.ply
4,61,valve_0007_lidar_classes.ply
5,950,valve_0007_lidar_classes.ply
6,700,valve_0007_lidar_classes.ply
7,403,valve_0007_lidar_classes.ply
8,640,valve_0007_lidar_classes.ply
9,2816,valve_0007_lidar_classes.ply
0,932,valve_0008_lidar_classes.ply
1,161,valve_0008_lidar_classes.ply
2,84,valve_0008_lidar_classes.ply
3,526,valve_0008_lidar_classes.ply
4,59,valve_0008_lidar_classes.ply
5,1060,valve_0008_lidar_classes.ply
6,418,valve_0008_lidar_classes.ply
7,468,valve_0008_lidar_classes.ply
8,757,valve_0008_lidar_classes.ply
9,2843,valve_0008_lidar_classes.ply
0,661,valve_0009_lidar_classes.ply
1,190,valve_0009_lidar_classes.ply
2,101,valve_0009_lidar_classes.ply
3,765,valve_0009_lidar_classes.ply
4,122,valve_0009_lidar_classes.ply
5,1150,valve_0009_lidar_classes.ply
6,934,valve_0009_lidar_classes.ply
7,465,valve_0009_lidar_classes.ply
8,803,valve_0009_lidar_classes.ply
9,2806,valve_0009_lidar_classes.ply
0,597,valve_0010_lidar_classes.ply
1,171,valve_0010_lidar_classes.ply
2,72,valve_0010_lidar_classes.ply
3,651,valve_0010_lidar_classes.ply
4,95,valve_0010_lidar_classes.ply
5,1056,valve_0010_lidar_classes.ply
6,549,valve_0010_lidar_classes.ply
7,410,valve_0010_lidar_classes.ply
8,676,valve_0010_lidar_classes.ply
9,3116,valve_0010_lidar_classes.ply
0,607,valve_0011_lidar_classes.ply
1,165,valve_0011_lidar_classes.ply
2,69,valve_0011_lidar_classes.ply
3,649,valve_0011_lidar_classes.ply
4,81,valve_0011_lidar_classes.ply
5,1034,valve_0011_lidar_classes.ply
6,474,valve_0011_lidar_classes.ply
7,397,valve_0011_lidar_classes.ply
8,665,valve_0011_lidar_classes.ply
9,3072,valve_0011_lidar_classes.ply
0,716,valve_0012_lidar_classes.ply
1,151,valve_0012_lidar_classes.ply
2,64,valve_0012_lidar_classes.ply
3,445,valve_0012_lidar_classes.ply
4,67,valve_0012_lidar_classes.ply
5,862,valve_0012_lidar_classes.ply
6,304,valve_0012_lidar_classes.ply
7,260,valve_0012_lidar_classes.ply
8,705,valve_0012_lidar_classes.ply
9,2825,valve_0012_lidar_classes.ply
0,707,valve_0013_lidar_classes.ply
1,153,valve_0013_lidar_classes.ply
2,79,valve_0013_lidar_classes.ply
3,656,valve_0013_lidar_classes.ply
4,82,valve_0013_lidar_classes.ply
5,896,valve_0013_lidar_classes.ply
6,695,valve_0013_lidar_classes.ply
7,369,valve_0013_lidar_classes.ply
8,798,valve_0013_lidar_classes.ply
9,2554,valve_0013_lidar_classes.ply
0,742,valve_0014_lidar_classes.ply
1,179,valve_0014_lidar_classes.ply
2,75,valve_0014_lidar_classes.ply
3,649,valve_0014_lidar_classes.ply
4,84,valve_0014_lidar_classes.ply
5,953,valve_0014_lidar_classes.ply
6,825,valve_0014_lidar_classes.ply
7,423,valve_0014_lidar_classes.ply
8,703,valve_0014_lidar_classes.ply
9,2385,valve_0014_lidar_classes.ply
0,832,valve_0015_lidar_classes.ply
1,194,valve_0015_lidar_classes.ply
2,77,valve_0015_lidar_classes.ply
3,697,valve_0015_lidar_classes.ply
4,88,valve_0015_lidar_classes.ply
5,1008,valve_0015_lidar_classes.ply
6,811,valve_0015_lidar_classes.ply
7,456,valve_0015_lidar_classes.ply
8,761,valve_0015_lidar_classes.ply
9,2581,valve_0015_lidar_classes.ply
0,557,valve_0016_lidar_classes.ply
1,146,valve_0016_lidar_classes.ply
2,76,valve_0016_lidar_classes.ply
3,645,valve_0016_lidar_classes.ply
4,80,valve_0016_lidar_classes.ply
5,876,valve_0016_lidar_classes.ply
6,693,valve_0016_lidar_classes.ply
7,440,valve_0016_lidar_classes.ply
8,731,valve_0016_lidar_classes.ply
9,2580,valve_0016_lidar_classes.ply
0,728,valve_0017_lidar_classes.ply
1,233,valve_0017_lidar_classes.ply
2,90,valve_0017_lidar_classes.ply
3,775,valve_0017_lidar_classes.ply
4,96,valve_0017_lidar_classes.ply
5,1065,valve_0017_lidar_classes.ply
6,873,valve_0017_lidar_classes.ply
7,480,valve_0017_lidar_classes.ply
8,675,valve_0017_lidar_classes.ply
9,3031,valve_0017_lidar_classes.ply
0,409,valve_0018_lidar_classes.ply
1,151,valve_0018_lidar_classes.ply
2,75,valve_0018_lidar_classes.ply
3,538,valve_0018_lidar_classes.ply
4,69,valve_0018_lidar_classes.ply
5,988,valve_0018_lidar_classes.ply
6,572,valve_0018_lidar_classes.ply
7,376,valve_0018_lidar_classes.ply
8,653,valve_0018_lidar_classes.ply
9,2597,valve_0018_lidar_classes.ply
0,731,valve_0019_lidar_classes.ply
1,225,valve_0019_lidar_classes.ply
2,92,valve_0019_lidar_classes.ply
3,826,valve_0019_lidar_classes.ply
4,76,valve_0019_lidar_classes.ply
5,1154,valve_0019_lidar_classes.ply
6,983,valve_0019_lidar_classes.ply
7,533,valve_0019_lidar_classes.ply
8,687,valve_0019_lidar_classes.ply
9,3343,valve_0019_lidar_classes.ply
0,684,valve_0020_lidar_classes.ply
1,162,valve_0020_lidar_classes.ply
2,85,valve_0020_lidar_classes.ply
3,634,valve_0020_lidar_classes.ply
4,81,valve_0020_lidar_classes.ply
5,992,valve_0020_lidar_classes.ply
6,631,valve_0020_lidar_classes.ply
7,402,valve_0020_lidar_classes.ply
8,601,valve_0020_lidar_classes.ply
9,2671,valve_0020_lidar_classes.ply
0,744,valve_0021_lidar_classes.ply
1,185,valve_0021_lidar_classes.ply
2,98,valve_0021_lidar_classes.ply
3,716,valve_0021_lidar_classes.ply
4,99,valve_0021_lidar_classes.ply
5,1077,valve_0021_lidar_classes.ply
6,447,valve_0021_lidar_classes.ply
7,409,valve_0021_lidar_classes.ply
8,722,valve_0021_lidar_classes.ply
9,3370,valve_0021_lidar_classes.ply
0,589,valve_0022_lidar_classes.ply
1,174,valve_0022_lidar_classes.ply
2,82,valve_0022_lidar_classes.ply
3,593,valve_0022_lidar_classes.ply
4,78,valve_0022_lidar_classes.ply
5,916,valve_0022_lidar_classes.ply
6,817,valve_0022_lidar_classes.ply
7,463,valve_0022_lidar_classes.ply
8,629,valve_0022_lidar_classes.ply
9,3200,valve_0022_lidar_classes.ply
0,740,valve_0023_lidar_classes.ply
1,193,valve_0023_lidar_classes.ply
2,96,valve_0023_lidar_classes.ply
3,818,valve_0023_lidar_classes.ply
4,84,valve_0023_lidar_classes.ply
5,1119,valve_0023_lidar_classes.ply
6,970,valve_0023_lidar_classes.ply
7,488,valve_0023_lidar_classes.ply
8,753,valve_0023_lidar_classes.ply
9,3401,valve_0023_lidar_classes.ply
0,753,valve_0024_lidar_classes.ply
1,156,valve_0024_lidar_classes.ply
2,58,valve_0024_lidar_classes.ply
3,439,valve_0024_lidar_classes.ply
4,39,valve_0024_lidar_classes.ply
5,960,valve_0024_lidar_classes.ply
6,358,valve_0024_lidar_classes.ply
7,456,valve_0024_lidar_classes.ply
8,692,valve_0024_lidar_classes.ply
9,2994,valve_0024_lidar_classes.ply
0,664,valve_0025_lidar_classes.ply
1,209,valve_0025_lidar_classes.ply
2,101,valve_0025_lidar_classes.ply
3,736,valve_0025_lidar_classes.ply
4,91,valve_0025_lidar_classes.ply
5,1219,valve_0025_lidar_classes.ply
6,490,valve_0025_lidar_classes.ply
7,441,valve_0025_lidar_classes.ply
8,846,valve_0025_lidar_classes.ply
9,3074,valve_0025_lidar_classes.ply
0,644,valve_0026_lidar_classes.ply
1,216,valve_0026_lidar_classes.ply
2,88,valve_0026_lidar_classes.ply
3,709,valve_0026_lidar_classes.ply
4,104,valve_0026_lidar_classes.ply
5,1066,valve_0026_lidar_classes.ply
6,439,valve_0026_lidar_classes.ply
7,391,valve_0026_lidar_classes.ply
8,750,valve_0026_lidar_classes.ply
9,3089,valve_0026_lidar_classes.ply
0,770,valve_0027_lidar_classes.ply
1,149,valve_0027_lidar_classes.ply
2,74,valve_0027_lidar_classes.ply
3,660,valve_0027_lidar_classes.ply
4,58,valve_0027_lidar_classes.ply
5,930,valve_0027_lidar_classes.ply
6,778,valve_0027_lidar_classes.ply
7,393,valve_0027_lidar_classes.ply
8,646,valve_0027_lidar_classes.ply
9,2938,valve_0027_lidar_classes.ply
0,867,valve_0028_lidar_classes.ply
1,219,valve_0028_lidar_classes.ply
2,86,valve_0028_lidar_classes.ply
3,792,valve_0028_lidar_classes.ply
4,110,valve_0028_lidar_classes.ply
5,1235,valve_0028_lidar_classes.ply
6,938,valve_0028_lidar_classes.ply
7,448,valve_0028_lidar_classes.ply
8,731,valve_0028_lidar_classes.ply
9,2832,valve_0028_lidar_classes.ply
0,923,valve_0029_lidar_classes.ply
1,208,valve_0029_lidar_classes.ply
2,63,valve_0029_lidar_classes.ply
3,703,valve_0029_lidar_classes.ply
4,61,valve_0029_lidar_classes.ply
5,995,valve_0029_lidar_classes.ply
6,919,valve_0029_lidar_classes.ply
7,455,valve_0029_lidar_classes.ply
8,690,valve_0029_lidar_classes.ply
9,2696,valve_0029_lidar_classes.ply
0,584,valve_0030_lidar_classes.ply
1,180,valve_0030_lidar_classes.ply
2,84,valve_0030_lidar_classes.ply
3,613,valve_0030_lidar_classes.ply
4,96,valve_0030_lidar_classes.ply
5,962,valve_0030_lidar_classes.ply
6,823,valve_0030_lidar_classes.ply
7,404,valve_0030_lidar_classes.ply
8,658,valve_0030_lidar_classes.ply
9,3018,valve_0030_lidar_classes.ply
0,642,valve_0031_lidar_classes.ply
1,176,valve_0031_lidar_classes.ply
2,98,valve_0031_lidar_classes.ply
3,682,valve_0031_lidar_classes.ply
4,99,valve_0031_lidar_classes.ply
5,1157,valve_0031_lidar_classes.ply
6,810,valve_0031_lidar_classes.ply
7,432,valve_0031_lidar_classes.ply
8,645,valve_0031_lidar_classes.ply
9,2590,valve_0031_lidar_classes.ply
0,641,valve_0032_lidar_classes.ply
1,174,valve_0032_lidar_classes.ply
2,89,valve_0032_lidar_classes.ply
3,675,valve_0032_lidar_classes.ply
4,82,valve_0032_lidar_classes.ply
5,963,valve_0032_lidar_classes.ply
6,882,valve_0032_lidar_classes.ply
7,415,valve_0032_lidar_classes.ply
