class,IoU,F1
unknown,0.10212567928663645,0.18532492474495008
pipe,0.09684217740691876,0.17658361321565258
wire,0.0,0.0
wall,0.6005293158959182,0.7504133912845748
floor,0.896190794875811,0.9452538186533134
ceiling,0.9301193155341384,0.9637946297394973
machine,0.5054791926626886,0.6715193343438578
desk,0.7721237233432355,0.8714106280193238
rack,0.725921417362099,0.8411986896501911
boiler,0.3790700280112045,0.5497473229229295
structure,0.6816360865183606,0.8106820399288789
infrastructure,0.17718524202314725,0.3010320478001086
